draw_date,draw_no,n1,n2,n3,n4,n5,source
2007-01-01,96000001.0,9,11,27,28,38,pilio
2007-01-02,96000002.0,2,12,33,36,37,pilio
2007-01-03,96000003.0,22,23,27,29,30,pilio
2007-01-04,96000004.0,3,9,23,32,39,pilio
2007-01-05,96000005.0,9,12,13,15,26,pilio
2007-01-08,96000006.0,8,11,13,24,39,pilio
2007-01-09,96000007.0,5,8,14,17,28,pilio
2007-01-10,96000008.0,5,30,34,35,38,pilio
2007-01-11,96000009.0,7,15,18,20,37,pilio
2007-01-12,96000010.0,6,21,23,26,33,pilio
2007-01-15,96000011.0,1,13,15,20,25,pilio
2007-01-16,96000012.0,6,13,27,31,32,pilio
2007-01-17,96000013.0,11,25,26,27,30,pilio
2007-01-18,96000014.0,10,15,20,22,28,pilio
2007-01-19,96000015.0,10,11,17,21,38,pilio
2007-01-22,96000016.0,10,13,15,28,39,pilio
2007-01-23,96000017.0,7,17,24,30,39,pilio
2007-01-24,96000018.0,3,4,15,23,34,pilio
2007-01-25,96000019.0,8,10,14,21,24,pilio
2007-01-26,96000020.0,6,8,10,36,37,pilio
2007-01-29,96000021.0,3,8,11,17,38,pilio
2007-01-30,96000022.0,5,10,12,15,27,pilio
2007-01-31,96000023.0,3,4,15,29,34,pilio
2007-02-01,96000024.0,13,18,25,26,36,pilio
2007-02-02,96000025.0,6,11,12,15,35,pilio
2007-02-05,96000026.0,3,16,19,20,31,pilio
2007-02-06,96000027.0,2,13,14,29,39,pilio
2007-02-07,96000028.0,7,11,23,32,35,pilio
2007-02-08,96000029.0,5,10,31,37,39,pilio
2007-02-09,96000030.0,7,16,20,25,27,pilio
2007-02-12,96000031.0,13,15,16,23,34,pilio
2007-02-13,96000032.0,2,22,28,29,34,pilio
2007-02-14,96000033.0,1,15,20,23,28,pilio
2007-02-15,96000034.0,6,24,27,28,33,pilio
2007-02-16,96000035.0,24,28,29,32,37,pilio
2007-02-19,96000036.0,9,12,24,34,37,pilio
2007-02-20,96000037.0,4,6,17,31,36,pilio
2007-02-21,96000038.0,8,18,20,32,34,pilio
2007-02-22,96000039.0,9,17,20,21,37,pilio
2007-02-23,96000040.0,9,12,16,19,25,pilio
2007-02-26,96000041.0,6,20,23,25,28,pilio
2007-02-27,96000042.0,9,12,19,23,34,pilio
2007-02-28,96000043.0,9,11,21,22,38,pilio
2007-03-01,96000044.0,2,3,12,18,31,pilio
2007-03-02,96000045.0,7,22,23,33,37,pilio
2007-03-05,96000046.0,5,11,19,21,25,pilio
2007-03-06,96000047.0,12,16,17,19,34,pilio
2007-03-07,96000048.0,2,12,19,30,34,pilio
2007-03-08,96000049.0,7,11,20,31,34,pilio
2007-03-09,96000050.0,2,17,30,31,38,pilio
2007-03-12,96000051.0,8,15,25,27,38,pilio
2007-03-13,96000052.0,6,9,16,18,22,pilio
2007-03-14,96000053.0,6,9,16,37,39,pilio
2007-03-15,96000054.0,1,7,21,27,33,pilio
2007-03-16,96000055.0,1,2,18,26,38,pilio
2007-03-19,96000056.0,5,20,24,28,39,pilio
2007-03-20,96000057.0,2,10,14,18,22,pilio
2007-03-21,96000058.0,6,14,34,37,38,pilio
2007-03-22,96000059.0,7,25,26,34,36,pilio
2007-03-23,96000060.0,12,19,20,29,32,pilio
2007-03-26,96000061.0,26,27,32,33,36,pilio
2007-03-27,96000062.0,11,20,36,37,38,pilio
2007-03-28,96000063.0,9,25,28,34,37,pilio
2007-03-29,96000064.0,8,22,23,27,29,pilio
2007-03-30,96000065.0,6,19,22,33,37,pilio
2007-04-02,96000066.0,1,7,21,33,35,pilio
2007-04-03,96000067.0,10,11,13,29,31,pilio
2007-04-04,96000068.0,1,19,30,34,35,pilio
2007-04-05,96000069.0,7,21,22,23,36,pilio
2007-04-06,96000070.0,4,7,12,33,34,pilio
2007-04-09,96000071.0,11,30,32,34,39,pilio
2007-04-10,96000072.0,6,8,9,30,39,pilio
2007-04-11,96000073.0,25,26,31,37,39,pilio
2007-04-12,96000074.0,1,9,11,17,25,pilio
2007-04-13,96000075.0,22,24,27,32,37,pilio
2007-04-16,96000076.0,14,18,26,28,36,pilio
2007-04-17,96000077.0,2,11,24,31,32,pilio
2007-04-18,96000078.0,3,12,22,38,39,pilio
2007-04-19,96000079.0,1,14,20,22,36,pilio
2007-04-20,96000080.0,3,6,22,37,39,pilio
2007-04-23,96000081.0,2,7,10,13,30,pilio
2007-04-24,96000082.0,1,4,6,9,16,pilio
2007-04-25,96000083.0,13,15,19,29,37,pilio
2007-04-26,96000084.0,5,7,15,32,39,pilio
2007-04-27,96000085.0,8,10,21,23,39,pilio
2007-04-30,96000086.0,4,7,12,17,29,pilio
2007-05-01,96000087.0,1,10,22,34,39,pilio
2007-05-02,96000088.0,4,23,34,37,39,pilio
2007-05-03,96000089.0,1,5,18,25,37,pilio
2007-05-04,96000090.0,7,8,9,12,14,pilio
2007-05-07,96000091.0,4,9,18,27,28,pilio
2007-05-08,96000092.0,2,10,18,23,33,pilio
2007-05-09,96000093.0,3,15,30,35,36,pilio
2007-05-10,96000094.0,14,19,22,25,35,pilio
2007-05-11,96000095.0,15,18,19,21,24,pilio
2007-05-14,96000096.0,2,9,10,14,39,pilio
2007-05-15,96000097.0,5,8,11,23,38,pilio
2007-05-16,96000098.0,1,11,18,21,24,pilio
2007-05-17,96000099.0,4,5,6,13,33,pilio
2007-05-18,96000100.0,6,11,15,37,39,pilio
2007-05-21,96000101.0,8,15,20,23,25,pilio
2007-05-22,96000102.0,1,13,18,31,32,pilio
2007-05-23,96000103.0,4,8,21,29,32,pilio
2007-05-24,96000104.0,7,8,13,30,35,pilio
2007-05-25,96000105.0,4,13,19,23,35,pilio
2007-05-28,96000106.0,4,5,10,17,37,pilio
2007-05-29,96000107.0,10,14,15,29,35,pilio
2007-05-30,96000108.0,5,20,33,38,39,pilio
2007-05-31,96000109.0,21,28,33,35,38,pilio
2007-06-01,96000110.0,1,3,7,13,28,pilio
2007-06-04,96000111.0,4,7,13,32,36,pilio
2007-06-05,96000112.0,6,8,18,25,35,pilio
2007-06-06,96000113.0,7,20,21,28,33,pilio
2007-06-07,96000114.0,1,7,18,19,21,pilio
2007-06-08,96000115.0,1,7,10,16,37,pilio
2007-06-11,96000116.0,7,14,27,29,30,pilio
2007-06-12,96000117.0,5,15,23,27,34,pilio
2007-06-13,96000118.0,1,2,3,20,25,pilio
2007-06-14,96000119.0,6,10,12,26,39,pilio
2007-06-15,96000120.0,2,12,23,25,27,pilio
2007-06-18,96000121.0,2,3,5,12,16,pilio
2007-06-19,96000122.0,1,6,8,10,28,pilio
2007-06-20,96000123.0,7,11,12,23,38,pilio
2007-06-21,96000124.0,18,19,28,35,39,pilio
2007-06-22,96000125.0,9,11,20,22,25,pilio
2007-06-25,96000126.0,20,22,23,24,34,pilio
2007-06-26,96000127.0,1,4,15,25,33,pilio
2007-06-27,96000128.0,3,6,14,20,21,pilio
