field,current_value,next_value,current_date,next_date
n1,9,2,2007-01-01,2007-01-02
n1,2,22,2007-01-02,2007-01-03
n1,22,3,2007-01-03,2007-01-04
n1,3,9,2007-01-04,2007-01-05
n1,9,8,2007-01-05,2007-01-08
n1,8,5,2007-01-08,2007-01-09
n1,5,5,2007-01-09,2007-01-10
n1,5,7,2007-01-10,2007-01-11
n1,7,6,2007-01-11,2007-01-12
n1,6,1,2007-01-12,2007-01-15
n1,1,6,2007-01-15,2007-01-16
n1,6,11,2007-01-16,2007-01-17
n1,11,10,2007-01-17,2007-01-18
n1,10,10,2007-01-18,2007-01-19
n1,10,10,2007-01-19,2007-01-22
n1,10,7,2007-01-22,2007-01-23
n1,7,3,2007-01-23,2007-01-24
n1,3,8,2007-01-24,2007-01-25
n1,8,6,2007-01-25,2007-01-26
n1,6,3,2007-01-26,2007-01-29
n1,3,5,2007-01-29,2007-01-30
n1,5,3,2007-01-30,2007-01-31
n1,3,13,2007-01-31,2007-02-01
n1,13,6,2007-02-01,2007-02-02
n1,6,3,2007-02-02,2007-02-05
n1,3,2,2007-02-05,2007-02-06
n1,2,7,2007-02-06,2007-02-07
n1,7,5,2007-02-07,2007-02-08
n1,5,7,2007-02-08,2007-02-09
n1,7,13,2007-02-09,2007-02-12
n1,13,2,2007-02-12,2007-02-13
n1,2,1,2007-02-13,2007-02-14
n1,1,6,2007-02-14,2007-02-15
n1,6,24,2007-02-15,2007-02-16
n1,24,9,2007-02-16,2007-02-19
n1,9,4,2007-02-19,2007-02-20
n1,4,8,2007-02-20,2007-02-21
n1,8,9,2007-02-21,2007-02-22
n1,9,9,2007-02-22,2007-02-23
n1,9,6,2007-02-23,2007-02-26
n1,6,9,2007-02-26,2007-02-27
n1,9,9,2007-02-27,2007-02-28
n1,9,2,2007-02-28,2007-03-01
n1,2,7,2007-03-01,2007-03-02
n1,7,5,2007-03-02,2007-03-05
n1,5,12,2007-03-05,2007-03-06
n1,12,2,2007-03-06,2007-03-07
n1,2,7,2007-03-07,2007-03-08
n1,7,2,2007-03-08,2007-03-09
n1,2,8,2007-03-09,2007-03-12
n1,8,6,2007-03-12,2007-03-13
n1,6,6,2007-03-13,2007-03-14
n1,6,1,2007-03-14,2007-03-15
n1,1,1,2007-03-15,2007-03-16
n1,1,5,2007-03-16,2007-03-19
n1,5,2,2007-03-19,2007-03-20
n1,2,6,2007-03-20,2007-03-21
n1,6,7,2007-03-21,2007-03-22
n1,7,12,2007-03-22,2007-03-23
n1,12,26,2007-03-23,2007-03-26
n1,26,11,2007-03-26,2007-03-27
n1,11,9,2007-03-27,2007-03-28
n1,9,8,2007-03-28,2007-03-29
n1,8,6,2007-03-29,2007-03-30
n1,6,1,2007-03-30,2007-04-02
n1,1,10,2007-04-02,2007-04-03
n1,10,1,2007-04-03,2007-04-04
n1,1,7,2007-04-04,2007-04-05
n1,7,4,2007-04-05,2007-04-06
n1,4,11,2007-04-06,2007-04-09
n1,11,6,2007-04-09,2007-04-10
n1,6,25,2007-04-10,2007-04-11
n1,25,1,2007-04-11,2007-04-12
n1,1,22,2007-04-12,2007-04-13
n1,22,14,2007-04-13,2007-04-16
n1,14,2,2007-04-16,2007-04-17
n1,2,3,2007-04-17,2007-04-18
n1,3,1,2007-04-18,2007-04-19
n1,1,3,2007-04-19,2007-04-20
n1,3,2,2007-04-20,2007-04-23
n1,2,1,2007-04-23,2007-04-24
n1,1,13,2007-04-24,2007-04-25
n1,13,5,2007-04-25,2007-04-26
n1,5,8,2007-04-26,2007-04-27
n1,8,4,2007-04-27,2007-04-30
n1,4,1,2007-04-30,2007-05-01
n1,1,4,2007-05-01,2007-05-02
n1,4,1,2007-05-02,2007-05-03
n1,1,7,2007-05-03,2007-05-04
n1,7,4,2007-05-04,2007-05-07
n1,4,2,2007-05-07,2007-05-08
n1,2,3,2007-05-08,2007-05-09
n1,3,14,2007-05-09,2007-05-10
n1,14,15,2007-05-10,2007-05-11
n1,15,2,2007-05-11,2007-05-14
n1,2,5,2007-05-14,2007-05-15
n1,5,1,2007-05-15,2007-05-16
n1,1,4,2007-05-16,2007-05-17
n1,4,6,2007-05-17,2007-05-18
n1,6,8,2007-05-18,2007-05-21
n1,8,1,2007-05-21,2007-05-22
n1,1,4,2007-05-22,2007-05-23
n1,4,7,2007-05-23,2007-05-24
n1,7,4,2007-05-24,2007-05-25
n1,4,4,2007-05-25,2007-05-28
n1,4,10,2007-05-28,2007-05-29
n1,10,5,2007-05-29,2007-05-30
n1,5,21,2007-05-30,2007-05-31
n1,21,1,2007-05-31,2007-06-01
n1,1,4,2007-06-01,2007-06-04
n1,4,6,2007-06-04,2007-06-05
n1,6,7,2007-06-05,2007-06-06
n1,7,1,2007-06-06,2007-06-07
n1,1,1,2007-06-07,2007-06-08
n1,1,7,2007-06-08,2007-06-11
n1,7,5,2007-06-11,2007-06-12
n1,5,1,2007-06-12,2007-06-13
n1,1,6,2007-06-13,2007-06-14
n1,6,2,2007-06-14,2007-06-15
n1,2,2,2007-06-15,2007-06-18
n1,2,1,2007-06-18,2007-06-19
n1,1,7,2007-06-19,2007-06-20
n1,7,18,2007-06-20,2007-06-21
n1,18,9,2007-06-21,2007-06-22
n1,9,20,2007-06-22,2007-06-25
n1,20,1,2007-06-25,2007-06-26
n1,1,3,2007-06-26,2007-06-27
n1,3,1,2007-06-27,2007-06-28
n1,1,25,2007-06-28,2007-06-29
n1,25,3,2007-06-29,2007-07-02
n1,3,15,2007-07-02,2007-07-03
n1,15,10,2007-07-03,2007-07-04
n1,10,1,2007-07-04,2007-07-05
n1,1,6,2007-07-05,2007-07-06
n1,6,8,2007-07-06,2007-07-09
n1,8,1,2007-07-09,2007-07-10
n1,1,5,2007-07-10,2007-07-11
n1,5,8,2007-07-11,2007-07-12
n1,8,1,2007-07-12,2007-07-13
n1,1,15,2007-07-13,2007-07-16
n1,15,5,2007-07-16,2007-07-17
n1,5,3,2007-07-17,2007-07-18
n1,3,1,2007-07-18,2007-07-19
n1,1,17,2007-07-19,2007-07-20
n1,17,3,2007-07-20,2007-07-23
n1,3,5,2007-07-23,2007-07-24
n1,5,1,2007-07-24,2007-07-25
n1,1,7,2007-07-25,2007-07-26
n1,7,8,2007-07-26,2007-07-27
n1,8,4,2007-07-27,2007-07-30
n1,4,7,2007-07-30,2007-07-31
n1,7,4,2007-07-31,2007-08-01
n1,4,9,2007-08-01,2007-08-02
n1,9,4,2007-08-02,2007-08-03
n1,4,2,2007-08-03,2007-08-06
n1,2,9,2007-08-06,2007-08-07
n1,9,7,2007-08-07,2007-08-08
n1,7,2,2007-08-08,2007-08-09
n1,2,13,2007-08-09,2007-08-10
n1,13,1,2007-08-10,2007-08-13
n1,1,4,2007-08-13,2007-08-14
n1,4,5,2007-08-14,2007-08-15
n1,5,7,2007-08-15,2007-08-16
n1,7,5,2007-08-16,2007-08-17
n1,5,4,2007-08-17,2007-08-20
n1,4,1,2007-08-20,2007-08-21
n1,1,3,2007-08-21,2007-08-22
n1,3,4,2007-08-22,2007-08-23
n1,4,2,2007-08-23,2007-08-24
n1,2,10,2007-08-24,2007-08-27
n1,10,4,2007-08-27,2007-08-28
n1,4,15,2007-08-28,2007-08-29
n1,15,7,2007-08-29,2007-08-30
n1,7,14,2007-08-30,2007-08-31
n1,14,12,2007-08-31,2007-09-03
n1,12,5,2007-09-03,2007-09-04
n1,5,1,2007-09-04,2007-09-05
n1,1,8,2007-09-05,2007-09-06
n1,8,2,2007-09-06,2007-09-07
n1,2,13,2007-09-07,2007-09-10
n1,13,4,2007-09-10,2007-09-11
n1,4,7,2007-09-11,2007-09-12
n1,7,1,2007-09-12,2007-09-13
n1,1,11,2007-09-13,2007-09-14
n1,11,16,2007-09-14,2007-09-17
n1,16,1,2007-09-17,2007-09-18
n1,1,4,2007-09-18,2007-09-19
n1,4,7,2007-09-19,2007-09-20
n1,7,12,2007-09-20,2007-09-21
n1,12,2,2007-09-21,2007-09-24
n1,2,1,2007-09-24,2007-09-25
n1,1,8,2007-09-25,2007-09-26
n1,8,6,2007-09-26,2007-09-27
n1,6,4,2007-09-27,2007-09-28
n1,4,2,2007-09-28,2007-10-01
n1,2,1,2007-10-01,2007-10-02
n1,1,1,2007-10-02,2007-10-03
n1,1,2,2007-10-03,2007-10-04
n1,2,8,2007-10-04,2007-10-05
n1,8,14,2007-10-05,2007-10-08
n1,14,5,2007-10-08,2007-10-09
n1,5,1,2007-10-09,2007-10-10
n1,1,4,2007-10-10,2007-10-11
n1,4,1,2007-10-11,2007-10-12
n1,1,9,2007-10-12,2007-10-15
n1,9,11,2007-10-15,2007-10-16
n1,11,3,2007-10-16,2007-10-17
n1,3,11,2007-10-17,2007-10-18
n1,11,7,2007-10-18,2007-10-19
n1,7,1,2007-10-19,2007-10-22
n1,1,3,2007-10-22,2007-10-23
n1,3,1,2007-10-23,2007-10-24
n1,1,9,2007-10-24,2007-10-25
n1,9,17,2007-10-25,2007-10-26
n1,17,3,2007-10-26,2007-10-29
n1,3,3,2007-10-29,2007-10-30
n1,3,15,2007-10-30,2007-10-31
n1,15,9,2007-10-31,2007-11-01
n1,9,1,2007-11-01,2007-11-02
n1,1,12,2007-11-02,2007-11-05
n1,12,9,2007-11-05,2007-11-06
n1,9,6,2007-11-06,2007-11-07
n1,6,23,2007-11-07,2007-11-08
n1,23,2,2007-11-08,2007-11-09
n1,2,30,2007-11-09,2007-11-12
n1,30,5,2007-11-12,2007-11-13
n1,5,2,2007-11-13,2007-11-14
n1,2,6,2007-11-14,2007-11-15
n1,6,1,2007-11-15,2007-11-16
n1,1,10,2007-11-16,2007-11-19
n1,10,7,2007-11-19,2007-11-20
n1,7,6,2007-11-20,2007-11-21
n1,6,4,2007-11-21,2007-11-22
n1,4,7,2007-11-22,2007-11-23
n1,7,5,2007-11-23,2007-11-26
n1,5,5,2007-11-26,2007-11-27
n1,5,1,2007-11-27,2007-11-28
n1,1,12,2007-11-28,2007-11-29
n1,12,3,2007-11-29,2007-11-30
n1,3,3,2007-11-30,2007-12-03
n1,3,11,2007-12-03,2007-12-04
n1,11,3,2007-12-04,2007-12-05
n1,3,11,2007-12-05,2007-12-06
n1,11,15,2007-12-06,2007-12-07
n1,15,2,2007-12-07,2007-12-10
n1,2,15,2007-12-10,2007-12-11
n1,15,10,2007-12-11,2007-12-12
n1,10,7,2007-12-12,2007-12-13
n1,7,2,2007-12-13,2007-12-14
n1,2,2,2007-12-14,2007-12-17
n1,2,7,2007-12-17,2007-12-18
n1,7,6,2007-12-18,2007-12-19
n1,6,13,2007-12-19,2007-12-20
n1,13,1,2007-12-20,2007-12-21
n1,1,19,2007-12-21,2007-12-24
n1,19,2,2007-12-24,2007-12-25
n1,2,1,2007-12-25,2007-12-26
n1,1,1,2007-12-26,2007-12-27
n1,1,1,2007-12-27,2007-12-28
n1,1,11,2007-12-28,2007-12-31
n1,11,11,2007-12-31,2008-01-01
n1,11,2,2008-01-01,2008-01-02
n1,2,18,2008-01-02,2008-01-03
n1,18,7,2008-01-03,2008-01-04
n1,7,2,2008-01-04,2008-01-07
n1,2,1,2008-01-07,2008-01-08
n1,1,4,2008-01-08,2008-01-09
n1,4,1,2008-01-09,2008-01-10
n1,1,4,2008-01-10,2008-01-11
n1,4,4,2008-01-11,2008-01-14
n1,4,5,2008-01-14,2008-01-15
n1,5,9,2008-01-15,2008-01-16
n1,9,2,2008-01-16,2008-01-17
n1,2,5,2008-01-17,2008-01-18
n1,5,1,2008-01-18,2008-01-21
n1,1,1,2008-01-21,2008-01-22
n1,1,1,2008-01-22,2008-01-23
n1,1,1,2008-01-23,2008-01-24
n1,1,2,2008-01-24,2008-01-25
n1,2,2,2008-01-25,2008-01-28
n1,2,1,2008-01-28,2008-01-29
n1,1,1,2008-01-29,2008-01-30
n1,1,1,2008-01-30,2008-01-31
n1,1,3,2008-01-31,2008-02-01
n1,3,3,2008-02-01,2008-02-04
n1,3,1,2008-02-04,2008-02-05
n1,1,4,2008-02-05,2008-02-06
n1,4,6,2008-02-06,2008-02-07
n1,6,3,2008-02-07,2008-02-08
n1,3,13,2008-02-08,2008-02-11
n1,13,1,2008-02-11,2008-02-12
n1,1,14,2008-02-12,2008-02-13
n1,14,3,2008-02-13,2008-02-14
n1,3,1,2008-02-14,2008-02-15
n1,1,5,2008-02-15,2008-02-18
n1,5,11,2008-02-18,2008-02-19
n1,11,11,2008-02-19,2008-02-20
n1,11,6,2008-02-20,2008-02-21
n1,6,9,2008-02-21,2008-02-22
n1,9,1,2008-02-22,2008-02-25
n1,1,28,2008-02-25,2008-02-26
n1,28,1,2008-02-26,2008-02-27
n1,1,1,2008-02-27,2008-02-28
n1,1,8,2008-02-28,2008-02-29
n1,8,4,2008-02-29,2008-03-03
n1,4,5,2008-03-03,2008-03-04
n1,5,2,2008-03-04,2008-03-05
n1,2,3,2008-03-05,2008-03-06
