draw_date,n1,n2,n3,n4,n5,n6,special_no
2010/01/01,1,6,14,19,26,33,
2010/01/01,17,19,24,29,39,48,
2010/01/01,11,12,19,29,34,36,
2010/01/02,4,24,34,35,46,48,
2010/01/02,19,22,30,33,43,47,
2010/01/02,6,15,36,42,46,47,
2010/01/03,1,19,28,39,45,46,
2010/01/03,13,16,18,25,26,29,
2010/01/03,11,14,30,35,36,49,
2010/01/04,11,17,43,44,45,46,
2010/01/04,26,27,29,37,40,42,
2010/01/04,5,6,14,25,29,30,
2010/01/05,2,7,16,29,34,36,
2010/01/05,15,27,28,31,35,45,
2010/01/05,3,9,18,28,33,47,
2010/01/06,8,18,22,28,30,44,
2010/01/06,9,14,25,40,43,45,
2010/01/06,3,7,12,25,26,29,
2010/01/07,5,16,21,32,47,48,
2010/01/07,7,21,26,32,37,47,
2010/01/07,11,25,31,32,35,42,
2010/01/08,20,21,31,33,35,38,
2010/01/08,1,14,22,28,45,48,
2010/01/08,5,8,14,19,40,42,
2010/01/09,9,19,32,36,38,44,
2010/01/09,1,11,20,29,31,38,
2010/01/09,5,13,28,36,46,48,
2010/01/10,2,7,11,13,21,48,
2010/01/10,1,12,22,29,31,47,
2010/01/10,5,10,30,34,37,42,
2010/01/11,9,21,29,41,47,49,
2010/01/11,1,30,34,42,46,48,
2010/01/11,7,22,33,42,47,49,
2010/01/12,3,15,19,22,33,38,
2010/01/12,3,5,19,30,33,37,
2010/01/12,14,20,27,28,31,41,
2010/01/13,3,9,20,22,25,37,
2010/01/13,4,32,35,44,45,47,
2010/01/13,10,12,18,23,39,41,
2010/01/14,15,28,31,32,37,38,
2010/01/14,2,8,20,21,30,43,
2010/01/14,6,16,27,28,48,49,
2010/01/15,4,8,23,34,40,47,
2010/01/15,1,15,22,32,40,42,
2010/01/15,5,15,22,26,42,48,
2010/01/16,20,26,27,35,41,49,
2010/01/16,1,6,8,12,16,45,
2010/01/16,7,14,26,34,37,42,
2010/01/17,6,8,15,39,43,46,
2010/01/17,5,6,26,38,40,45,
2010/01/17,18,22,27,36,40,45,
2010/01/18,22,30,37,39,41,44,
2010/01/18,2,4,6,9,28,43,
2010/01/18,12,32,41,43,46,48,
2010/01/19,10,16,22,29,30,32,
2010/01/19,10,13,21,22,28,44,
2010/01/19,1,17,25,31,34,45,
2010/01/20,1,6,18,29,36,48,
2010/01/20,11,18,19,23,28,38,
2010/01/20,15,22,23,30,32,33,
2010/01/21,24,28,33,39,40,42,
2010/01/21,6,8,22,25,29,38,
2010/01/21,12,17,19,31,32,37,
2010/01/22,19,26,37,39,43,48,
2010/01/22,1,10,28,29,46,48,
2010/01/22,7,27,36,37,39,48,
2010/01/23,14,15,21,25,27,38,
2010/01/23,4,11,22,24,27,49,
2010/01/23,11,24,34,35,39,47,
2010/01/24,3,7,20,28,29,35,
2010/01/24,1,10,11,23,35,47,
2010/01/24,8,10,18,19,22,39,
2010/01/25,2,6,7,8,11,43,
2010/01/25,4,7,13,24,42,49,
2010/01/25,6,18,27,30,40,44,
2010/01/26,3,5,21,24,27,41,
2010/01/26,13,37,43,45,46,47,
2010/01/26,14,20,29,35,47,49,
2010/01/27,6,22,24,28,39,43,
2010/01/27,14,15,24,35,44,46,
2010/01/27,5,15,34,35,38,49,
2010/01/28,13,20,22,28,42,47,
2010/01/28,4,11,14,29,37,40,
2010/01/28,16,22,29,32,39,48,
2010/01/29,6,9,12,37,40,43,
2010/01/29,12,19,28,39,47,49,
2010/01/29,15,29,34,41,43,47,
2010/01/30,10,25,27,34,38,41,
2010/01/30,17,24,30,34,39,46,
2010/01/30,7,22,28,33,44,48,
2010/01/31,3,19,25,31,46,47,
2010/01/31,10,13,16,21,37,42,
2010/01/31,13,14,15,22,30,41,
2010/02/01,5,25,26,38,43,46,
2010/02/01,7,14,17,26,37,39,
2010/02/01,12,16,28,30,38,45,
2010/02/02,9,10,25,27,42,49,
2010/02/02,3,10,17,28,40,47,
2010/02/02,9,11,28,36,44,47,
2010/02/03,3,5,12,23,25,41,
2010/02/03,15,29,31,38,45,47,
2010/02/03,5,11,24,36,44,46,
2010/02/04,8,10,17,20,38,43,
2010/02/04,7,14,25,37,45,47,
2010/02/04,4,12,14,38,39,41,
2010/02/05,4,12,18,24,38,45,
2010/02/05,3,9,11,27,28,35,
2010/02/05,4,13,16,21,33,47,
2010/02/06,7,28,29,31,33,39,
2010/02/06,25,29,32,33,36,38,
2010/02/06,2,7,11,23,27,47,
2010/02/07,2,8,16,27,36,37,
2010/02/07,8,22,35,36,37,42,
2010/02/07,15,19,28,38,40,49,
2010/02/08,3,6,9,14,32,48,
2010/02/08,2,4,8,14,31,46,
2010/02/08,1,3,23,25,35,37,
2010/02/09,15,16,23,34,39,49,
2010/02/09,1,6,12,15,20,42,
2010/02/09,15,21,29,31,36,44,
2010/02/10,5,17,31,37,40,47,
2010/02/10,14,30,32,43,46,49,
2010/02/10,9,10,16,17,26,33,
2010/02/11,2,5,8,9,10,22,
2010/02/11,5,19,28,31,36,49,
2010/02/11,5,10,12,19,30,42,
2010/02/12,2,11,12,31,40,48,
2010/02/12,1,10,13,26,27,38,
2010/02/12,8,29,31,37,43,46,
2010/02/13,7,8,10,14,26,37,
2010/02/13,19,20,21,22,31,32,
2010/02/13,11,17,20,21,37,46,
2010/02/14,11,15,20,30,33,40,
2010/02/14,4,5,8,37,41,49,
2010/02/14,27,28,35,38,39,45,
2010/02/15,4,13,26,34,36,41,
2010/02/15,6,16,25,35,37,42,
2010/02/15,3,12,30,31,45,49,
2010/02/16,2,9,10,36,41,49,
2010/02/16,1,22,23,25,39,40,
2010/02/16,8,9,18,19,20,24,
2010/02/17,6,7,12,15,29,46,
2010/02/17,11,18,28,39,45,47,
2010/02/17,8,22,24,28,42,49,
2010/02/18,14,28,32,36,40,46,
2010/02/18,2,3,6,17,18,19,
2010/02/18,2,7,36,39,44,47,
2010/02/19,13,25,28,30,33,47,
2010/02/19,4,9,26,31,34,46,
2010/02/19,1,9,26,42,44,45,
2010/02/20,6,10,19,25,33,34,
2010/02/20,4,5,8,38,41,44,
2010/02/20,12,15,19,23,24,42,
2010/02/21,4,24,30,39,40,44,
2010/02/21,1,3,17,18,24,30,
2010/02/21,15,17,21,23,27,31,
2010/02/22,10,18,24,28,29,41,
2010/02/22,2,7,23,35,37,39,
2010/02/22,7,9,22,23,34,39,
2010/02/23,14,27,36,37,42,44,
2010/02/23,10,39,40,42,45,49,
2010/02/23,8,13,21,29,32,44,
2010/02/24,18,23,25,28,36,42,
