show_order,n1,n2,n3,n4,n5,n6,sp
latest_value,2,6,10,22,40,45,17
top1,1,13,21,33,37,49,31
top2,2,5,25,35,38,47,18
top3,4,16,36,28,34,46,34
top4,7,21,23,32,39,44,21
top5,6,11,27,31,44,48,25
unseen_1,25,1,1,1,1,1,4
unseen_2,28,2,2,2,2,2,5
unseen_3,29,26,3,3,3,3,6
unseen_4,30,27,4,4,4,4,8
unseen_5,31,29,5,5,5,5,9
unseen_6,32,31,6,6,6,6,10
unseen_7,33,32,7,7,7,7,11
unseen_8,34,34,9,9,8,8,12
unseen_9,35,35,10,10,9,9,15
unseen_10,36,36,19,11,10,10,17
unseen_11,37,37,31,12,11,11,19
unseen_12,38,38,32,13,12,12,20
unseen_13,39,39,33,16,14,13,22
unseen_14,40,40,35,20,16,14,23
unseen_15,41,41,38,40,17,15,27
unseen_16,42,42,39,45,48,16,28
unseen_17,43,43,41,46,49,18,29
unseen_18,44,44,42,47,,19,30
unseen_19,45,45,43,48,,21,33
unseen_20,46,46,44,49,,22,35
unseen_21,47,47,45,,,24,38
unseen_22,48,48,46,,,25,39
unseen_23,49,49,47,,,26,41
unseen_24,,,48,,,27,45
unseen_25,,,49,,,28,47
unseen_26,,,,,,,48
unseen_27,,,,,,,49
