draw_date,draw_no,n1,n2,n3,n4,n5,n6,sp,source
2008-01-24,97000001,3,4,16,18,36,37,2,power_raw
2008-01-28,97000002,2,14,15,16,28,29,8,power_raw
2008-01-31,97000003,6,9,11,13,19,23,2,power_raw
2008-02-04,97000004,2,6,10,18,23,26,5,power_raw
2008-02-07,97000005,6,20,26,33,34,35,5,power_raw
2008-02-11,97000006,2,4,11,22,23,25,8,power_raw
2008-02-14,97000007,7,13,28,33,35,38,6,power_raw
2008-02-18,97000008,5,7,15,28,35,37,6,power_raw
2008-02-21,97000009,1,20,22,23,29,38,3,power_raw
2008-02-25,97000010,9,15,16,34,36,37,5,power_raw
2008-02-28,97000011,6,13,16,29,33,36,4,power_raw
2008-03-03,97000012,13,14,24,25,26,35,3,power_raw
2008-03-06,97000013,8,11,22,26,34,36,8,power_raw
2008-03-10,97000014,6,1,11,19,22,25,6,power_raw
2008-03-13,97000015,2,1,11,15,23,24,5,power_raw
2008-03-17,97000016,6,,18,19,22,24,8,power_raw
2008-03-20,97000017,3,14,21,25,32,36,6,power_raw
2008-03-24,97000018,1,2,7,11,26,36,5,power_raw
2008-03-27,97000019,1,5,16,22,31,36,5,power_raw
2008-03-31,97000020,9,18,19,25,27,32,6,power_raw
2008-04-03,97000021,3,8,9,10,17,28,5,power_raw
2008-04-07,97000022,16,19,20,24,32,37,4,power_raw
2008-04-10,97000023,24,25,26,33,36,37,2,power_raw
2008-04-14,97000024,5,17,18,28,32,37,3,power_raw
2008-04-17,97000025,1,4,6,14,20,35,7,power_raw
2008-04-21,97000026,16,22,26,27,36,37,2,power_raw
2008-04-24,97000027,1,3,10,20,30,31,5,power_raw
2008-04-28,97000028,15,17,19,23,24,29,7,power_raw
2008-05-01,97000029,2,6,13,14,23,38,2,power_raw
2008-05-05,97000030,2,4,18,29,33,34,3,power_raw
2008-05-08,97000031,3,5,7,16,21,22,8,power_raw
2008-05-12,97000032,7,11,13,14,23,24,7,power_raw
2008-05-15,97000033,10,12,18,21,24,35,2,power_raw
2008-05-19,97000034,12,17,20,22,30,33,4,power_raw
2008-05-22,97000035,3,13,22,26,33,38,3,power_raw
2008-05-26,97000036,3,26,32,34,37,38,3,power_raw
2008-05-29,97000037,4,7,10,11,18,28,4,power_raw
2008-06-02,97000038,3,4,7,11,25,28,1,power_raw
2008-06-05,97000039,3,8,19,21,22,30,2,power_raw
2008-06-09,97000040,2,5,24,28,30,31,8,power_raw
